id,titre,objet,date_creat,date_publi,adr1,adr2,adr3,adrs_codepostal,libcom,siteweb
751P00099475,ASSOCIATION DE LA PROMOTION BERNARD DANGY APBD,organiser les manifestations relatives au 20 ème anniversaire de la promotion bernard dangy des chirurgiens dentistes de la tour,0001-01-01,0001-01-01,,44        BD  de Reuilly,,75012,PARIS,
751P00099536,EDITIONS DERENNES,édition de documents culturels ou artistiques prestation de services en rapport avec documents,1991-04-15,1991-05-08,,35        RUE de Wattignies,,75012,PARIS,
751P00099550,EDITIONS DE LA VIOLETTE NOIRE,dvt de la connaissance littéraire et culturelle française et étrangère publication et proposition de la vente des livres,0001-01-01,0001-01-01,,40        CRS de Vincennes,,75012,PARIS,
751P00099634,CERCLE MEDICAL CULTURE ET VOYAGES CMCV,promouvoir des voyages et manifestations culturelles en france et a l'étranger,1991-04-19,1991-05-22,,70        BD  de Reuilly,,75012,PARIS,
751P00099637,LES ENFANTS DE ZACAPA,échanges et entraides medico sociale pour les enfants de zacapa au guatemala,1991-04-19,1991-05-22,,40 B      RUE de la Voûte,,75012,PARIS,
751P00099692,ASSOCIATION DES DIRECTEURS DES IMPOTS,assurer la representation des directeurs actifs et retraites et prendre en charge la défense de leurs intérêts materiels et moraux,1991-04-24,1991-05-22,,86 92     ALL de Bercy,,75012,PARIS,
751P00099714,LA COMPAGNIE DE L'AUTRE SCENE,organiser des representations et des ateliers theatraux,1991-04-25,1991-05-29,,10        RUE Erard,,75012,PARIS,
751P00099716,EUROSTAGES ES,contribuer a l'éducation des jeunes de différentes nationalités en leur proposant des séjours linguistiques en france et a l'étranger,1991-04-25,0001-01-01,,131       RUE de Picpus,,75012,PARIS,
751P00099769,LES ANNEES CONCOURS,organiser programmer et gérer des manifestations liees a l'architecture développer les échanges professionnels avec le quebec,1991-04-30,0001-01-01,,19        RUE de la Brèche aux loups,,75012,PARIS,
751P00099798,FNAC BASTILLE FOOTBALL CLUB,la pratique du football,1991-05-03,0001-01-01,,4         PL  de la Bastille,,75012,PARIS,
751P00099801,DEMAIN IL FERA JOUR,développer et promouvoir toute forme d'expression culturelle et artistique actions de créations de diffusion et d'enseignement,1991-05-03,0001-01-01,,10        RUE Sidi brahim,,75012,PARIS,
